Explanation,Bounds
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Monetary (c.c. blood) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   0.12]
 [0.   1.  ]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Monetary (c.c. blood) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]
 [0.       1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Monetary (c.c. blood) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   0.12]
 [0.   1.  ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) <= 0.12'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.27'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.27]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.12'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.120001 1.      ]]"
['Time (months) <= 0.50'],"[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
['Time (months) > 0.27'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.270001 1.      ]]"
['Time (months) > 0.50'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
